"Course Roster for CSSE220-01 (Object-Oriented Software Dvlpm)"
"Term=Fall 2026-2027  Instructor=valer  Credits=4  Number of Students=15  Capacity=15"
"Term Schedule=MWF/1-2/O157  Finals Schedule="
"Username","Last","First","Middle","Banner ID","Major","Class","Year","Advisor","Email"
"abbottm","Abbott","Mason","","800300017","ME","SO","Y1","ashbyc","ABBOTTM@rose-hulman.edu"
"cranel","Crane","Lila","","800300289","EE","SO","Y1","holtq","CRANEL@rose-hulman.edu"
"darrowa","Darrow","Aria","","800300451","ME","JR","Y2","keener","DARROWA@rose-hulman.edu"
"grangeb","Grange","Bennett","","801900624","ME","JR","Y3","loweryd","GRANGEB@rose-hulman.edu"
"jukest","Jukes","Theo","","801890205","ME","SR","Y3","loweryd","JUKEST@rose-hulman.edu"
"penninn","Pennington","Nadia","","800300613","CHE","SO","Y1","pruittr","PENNINN@rose-hulman.edu"
"quigler","Quigley","Reed","","800300742","EE","SO","Y1","holtq","QUIGLER@rose-hulman.edu"
"seftoni","Sefton","Ivy","","800300858","EE","SO","Y1","whitloh","SEFTONI@rose-hulman.edu"
"conwayh","Conway","Hank","","800300917","EE","SO","Y1","whitloh","CONWAYH@rose-hulman.edu"
"elwoodj","Elwood","June","","800301066","EE","SO","Y1","whitloh","ELWOODJ@rose-hulman.edu"
"joffren","Joffre","Nina","","800301134","ME","SO","Y1","zanep","JOFFREN@rose-hulman.edu"
"merrowq","Merrow","Quinn","","800301288","EE","SO","Y1","frostt","MERROWQ@rose-hulman.edu"
"paxtons","Paxton","Sasha","","800301357","CPE","SO","Y1","fenwic","PAXTONS@rose-hulman.edu"
"rentonu","Renton","Uma","","800301402","EE","SO","Y1","frostt","RENTONU@rose-hulman.edu"
"strandv","Strand","Vera","","800301579","EE","SO","Y1","frostt","STRANDV@rose-hulman.edu"
